,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Duration,Pulse,Maxpulse,Calories,Category
0,0,0,0,60,110,130,409.1,Few
1,1,1,1,60,117,145,479.0,Few
2,2,2,2,60,103,135,340.0,Few
3,3,3,3,45,109,175,282.4,Few
4,4,4,4,45,117,148,406.0,Few
5,5,5,5,60,102,127,300.0,Few
6,6,6,6,60,110,136,374.0,Few
7,7,7,7,45,104,134,253.3,Few
8,8,8,8,30,109,133,195.1,Few
9,9,9,9,60,98,124,269.0,Few
10,10,10,10,60,103,147,329.3,Few
11,11,11,11,60,100,120,250.7,Few
12,12,12,12,60,106,128,345.3,Few
13,13,13,13,60,104,132,379.3,Few
14,14,14,14,60,98,123,275.0,Few
15,15,15,15,60,98,120,215.2,Few
16,16,16,16,60,100,120,300.0,Few
17,17,17,18,60,103,123,323.0,Few
18,18,18,19,45,97,125,243.0,Few
19,19,19,20,60,108,131,364.2,Few
20,20,20,21,45,100,119,282.0,Few
21,21,21,22,60,130,101,300.0,Few
22,22,22,23,45,105,132,246.0,Few
23,23,23,24,60,102,126,334.5,Few
24,24,24,25,60,100,120,250.0,Few
25,25,25,26,60,92,118,241.0,Few
26,26,26,28,60,100,132,280.0,Few
27,27,27,29,60,102,129,380.3,Few
28,28,28,30,60,92,115,243.0,Few
29,29,29,31,45,90,112,180.1,Few
30,30,30,32,60,101,124,299.0,Few
31,31,31,33,60,93,113,223.0,Few
32,32,32,34,60,107,136,361.0,Few
33,33,33,35,60,114,140,415.0,Few
34,34,34,39,45,104,129,266.0,Few
35,35,35,41,60,98,126,286.0,Few
36,36,36,42,60,100,122,329.4,Few
37,37,37,43,60,111,138,400.0,Few
38,38,38,44,60,111,131,397.0,Few
39,39,39,45,60,99,119,273.0,Few
40,40,40,46,60,109,153,387.6,Few
41,41,41,47,45,111,136,300.0,Few
42,42,42,48,45,108,129,298.0,Few
43,43,43,49,60,111,139,397.6,Few
44,44,44,50,60,107,136,380.2,Few
45,45,45,51,80,123,146,643.1,Normal
46,46,46,52,60,106,130,263.0,Few
47,47,47,53,60,118,151,486.0,Few
48,48,48,54,30,136,175,238.0,Few
49,49,49,55,60,121,146,450.7,Few
50,50,50,56,60,118,121,413.0,Few
51,51,51,57,45,115,144,305.0,Few
52,52,52,58,20,153,172,226.4,Few
53,53,53,59,45,123,152,321.0,Few
54,54,54,60,210,108,160,1376.0,High
55,55,55,61,160,110,137,1034.4,Normal
56,56,56,62,160,109,135,853.0,Normal
57,57,57,63,45,118,141,341.0,Few
58,58,58,64,20,110,130,131.4,Few
59,59,59,65,180,90,130,800.4,Normal
60,60,60,66,150,105,135,873.4,Normal
61,61,61,67,150,107,130,816.0,Normal
62,62,62,68,20,106,136,110.4,Few
63,63,63,69,300,108,143,1500.2,High
64,64,64,70,150,97,129,1115.0,Normal
65,65,65,72,90,100,127,700.0,Normal
66,66,66,73,150,97,127,953.2,Normal
67,67,67,74,45,114,146,304.0,Few
68,68,68,75,90,98,125,563.2,Normal
69,69,69,76,45,105,134,251.0,Few
70,70,70,77,45,110,141,300.0,Few
71,71,71,78,120,100,130,500.4,Normal
72,72,72,79,270,100,131,1729.0,High
73,73,73,80,30,159,182,319.2,Few
74,74,74,81,45,149,169,344.0,Few
75,75,75,82,30,103,139,151.1,Few
76,76,76,83,120,100,130,500.0,Few
77,77,77,84,45,100,120,225.3,Few
78,78,78,85,30,151,170,300.0,Few
79,79,79,86,45,102,136,234.0,Few
80,80,80,87,120,100,157,1000.1,Normal
81,81,81,88,45,129,103,242.0,Few
82,82,82,89,20,83,107,50.3,Few
83,83,83,90,180,101,127,600.1,Normal
84,84,84,92,30,90,107,105.3,Few
85,85,85,93,15,80,100,50.5,Few
86,86,86,94,20,150,171,127.4,Few
87,87,87,95,20,151,168,229.4,Few
88,88,88,96,30,95,128,128.2,Few
89,89,89,97,25,152,168,244.2,Few
90,90,90,98,30,109,131,188.2,Few
91,91,91,99,90,93,124,604.1,Normal
92,92,92,100,20,95,112,77.7,Few
93,93,93,101,90,90,110,500.0,Few
94,94,94,102,90,90,100,500.0,Few
95,95,95,103,90,90,100,500.4,Normal
96,96,96,104,30,92,108,92.7,Few
97,97,97,105,30,93,128,124.0,Few
98,98,98,106,180,90,120,800.3,Normal
99,99,99,107,30,90,120,86.2,Few
100,100,100,108,90,90,120,500.3,Normal
101,101,101,109,210,137,184,1860.4,High
102,102,102,110,60,102,124,325.2,Few
103,103,103,111,45,107,124,275.0,Few
104,104,104,112,15,124,139,124.2,Few
105,105,105,114,60,108,131,367.6,Few
106,106,106,115,60,108,151,351.7,Few
107,107,107,116,60,116,141,443.0,Few
108,108,108,117,60,97,122,277.4,Few
109,109,109,119,60,103,124,332.7,Few
110,110,110,120,30,112,137,193.9,Few
111,111,111,121,45,100,120,100.7,Few
112,112,112,122,60,119,169,336.7,Few
113,113,113,123,60,107,127,344.9,Few
114,114,114,124,60,111,151,368.5,Few
115,115,115,125,60,98,122,271.0,Few
116,116,116,126,60,97,124,275.3,Few
117,117,117,127,60,109,127,382.0,Few
118,118,118,128,90,99,125,466.4,Few
119,119,119,129,60,114,151,384.0,Few
120,120,120,130,60,104,134,342.5,Few
121,121,121,131,60,107,138,357.5,Few
122,122,122,132,60,103,133,335.0,Few
123,123,123,133,60,106,132,327.5,Few
124,124,124,134,60,103,136,339.0,Few
125,125,125,135,20,136,156,189.0,Few
126,126,126,136,45,117,143,317.7,Few
127,127,127,137,45,115,137,318.0,Few
128,128,128,138,45,113,138,308.0,Few
129,129,129,139,20,141,162,222.4,Few
130,130,130,140,60,108,135,390.0,Few
131,131,131,142,45,100,120,250.4,Few
132,132,132,143,45,122,149,335.4,Few
133,133,133,144,60,136,170,470.2,Few
134,134,134,145,45,106,126,270.8,Few
135,135,135,146,60,107,136,400.0,Few
136,136,136,147,60,112,146,361.9,Few
137,137,137,148,30,103,127,185.0,Few
138,138,138,149,60,110,150,409.4,Few
139,139,139,150,60,106,134,343.0,Few
140,140,140,151,60,109,129,353.2,Few
141,141,141,152,60,109,138,374.0,Few
142,142,142,153,30,150,167,275.8,Few
143,143,143,154,60,105,128,328.0,Few
144,144,144,156,60,97,131,270.4,Few
145,145,145,157,60,100,120,270.4,Few
146,146,146,158,60,114,150,382.8,Few
147,147,147,159,30,80,120,240.9,Few
148,148,148,160,30,85,120,250.4,Few
149,149,149,161,45,90,130,260.4,Few
150,150,150,162,45,95,130,270.0,Few
151,151,151,163,45,100,140,280.9,Few
152,152,152,164,60,105,140,290.8,Few
153,153,153,165,60,110,145,300.0,Few
154,154,154,166,60,115,145,310.2,Few
155,155,155,167,75,120,150,320.4,Few
156,156,156,168,75,125,150,330.4,Few
